title,url,price,email,posting_id,location,date,housing
"Full House, Great Location, Fenced Yard, Garage",http://cleveland.craigslist.org/apa/4933480261.html,$495,ctmft-4933480261@hous.craigslist.org,4933480261," (Elyria, Oberlin, Amherst, Lorain, Avon)",2015-03-30 09:45,/ 2br - 800ft
LARGEST 2 BEDROOMS AT LOWEST PRICE! CALL TODAY FOR MORE DETAILS!,http://cleveland.craigslist.org/apa/4923792507.html,$715,bwkdk-4923792507@hous.craigslist.org,4923792507," (Mentor, Willoughby, Willoughby Hills, Wickliffe, Mayfield,)",2015-03-30 09:45,/ 2br - 1000ft
"SAME DAY APPOINTMENTS, IMMEDIATE AVAILABILITY! CALL TODAY!",http://cleveland.craigslist.org/apa/4925407610.html,$715,hhvt9-4925407610@hous.craigslist.org,4925407610," (Willoughby, Willoughby, Wickliffe, Mayfield, Euclid, M)",2015-03-30 09:46,/ 2br - 1000ft
MARCH MADNESS! $99 DEPOSIT! $730 2 BEDROOM/2 BATH! ENDS 3/31,http://cleveland.craigslist.org/apa/4924454381.html,$730,kvzjp-4924454381@hous.craigslist.org,4924454381," (Willoughby, Willoughby Hills, Eastlake, Willowick, Cleveland)",2015-03-30 09:46,/ 2br - 1000ft
TAX $EA$ON $PECIAL! $715 A MONTH! $99 DEPOSITS! BEST DEAL AROUND!,http://cleveland.craigslist.org/apa/4946894895.html,$715,,4946894895," (Mentor, Willoughby, Willoughby Hills, Wickliffe, Mento)",2015-03-30 09:47,/ 2br - 1000ft
Furnished Suite/STL* Available,http://cleveland.craigslist.org/apa/4955662087.html,$799,fzwmm-4955662087@hous.craigslist.org,4955662087, (Mill Stream Run Apts.),2015-03-30 09:48,/ 1br - 
Fabulous 4 bedrooms 2 bth wonderful Manufactured Wood,http://cleveland.craigslist.org/apa/4955578873.html,$975,rjv9k-4955578873@hous.craigslist.org,4955578873, (Parma Heights),2015-03-30 09:48,/ 3br - 1420ft
Upstairs unit for rent - $650,http://cleveland.craigslist.org/apa/4928821366.html,$650,c4kbd-4928821366@hous.craigslist.org,4928821366, (Cleveland),2015-03-30 09:48,/ 3br - 1548ft
"LIMITED TIME SPECIAL! ENDS 3/31. $99 DEPOSIT, BEST PRICED 2 BED 2 BATH",http://cleveland.craigslist.org/apa/4925450736.html,$730,hphcc-4925450736@hous.craigslist.org,4925450736," (Mayfield, Willoughby Hills, Eastlake, Wickliffe, Cleveland)",2015-03-30 09:48,/ 2br - 1000ft
CARRIAGE HOUSE OFFERS REMODELED ONE AND TWO BEDROOMS SUITES,http://cleveland.craigslist.org/apa/4955666373.html,$450,zzcs5-4955666373@hous.craigslist.org,4955666373," (ELYRIA, OH)",2015-03-30 09:48,/ 1br - 
Rates change April 1! Apply before March 31! 3 Bedroom $915,http://cleveland.craigslist.org/apa/4937523033.html,$915,p58b5-4937523033@hous.craigslist.org,4937523033, (23951 Lakeshore Blvd.),2015-03-30 09:49,/ 3br - 1050ft
TAX $EA$ON $PECIAL! $715 A MONTH! $99 DEPOSITS! BEST DEAL AROUND!,http://cleveland.craigslist.org/apa/4948279363.html,$715,2wgzk-4948279363@hous.craigslist.org,4948279363," (Cleveland, Bedford,Willoughby Hills, Willoughby)",2015-03-30 09:50,/ 2br - 1000ft
"BEST SQUARE FOOTAGE, RENT, AND DEPOSIT! CALL TODAY FOR AN APPOINTMENT!",http://cleveland.craigslist.org/apa/4948286343.html,$730,jfkbv-4948286343@hous.craigslist.org,4948286343," (Willoughby, Willoughby Hills, Eastlake, Wickliffe, Willowick)",2015-03-30 09:52,/ 2br - 1000ft
�� �� �� E. 246 LAKESHORE AREA Affordable BRICK BUNGALOW E. 246,http://cleveland.craigslist.org/apa/4929917680.html,$850,mqxwz-4929917680@hous.craigslist.org,4929917680, (E. 246),2015-03-30 08:28,/ 3br - 1141ft
�� �� �� E. 190 AND ARROWHEAD AFFORDABLE BUNGALOW CLEVELAND EUCLID,http://cleveland.craigslist.org/apa/4929948264.html,$700,nm7wz-4929948264@hous.craigslist.org,4929948264, (ARROWHEAD),2015-03-30 08:28,/ 3br - 1008ft
MASTERPIECE 3 BEDROOM NORTH COLLINWOOD WATERLOO E.160,http://cleveland.craigslist.org/apa/4915370930.html,$695,mpdfd-4915370930@hous.craigslist.org,4915370930, (E. 160),2015-03-30 08:28,/ 3br - 1452ft
cobblestone lease takeover,http://cleveland.craigslist.org/apa/4939917852.html,$1150,xkffq-4939917852@hous.craigslist.org,4939917852, (painesville),2015-03-30 00:23,/ 2br - 
Condominium for rent,http://cleveland.craigslist.org/apa/4938129708.html,$1250,tqqvc-4938129708@hous.craigslist.org,4938129708," (Lakewood, ohio)",2015-03-30 00:27,/ 2br - 1100ft
Cleveland Heights Home for Rent,http://cleveland.craigslist.org/apa/4955421911.html,$1500,vdjdz-4955421911@hous.craigslist.org,4955421911, (Cedar Lee area),2015-03-30 00:39,/ 3br - 
"Beautiful, very well maintained apartment w/huge balcony! Come see!",http://cleveland.craigslist.org/apa/4955434351.html,$640,gjxpg-4955434351@hous.craigslist.org,4955434351, (Elyria),2015-03-30 01:06,/ 2br - 860ft
Available now and ready to move in! Great location! Liberty Circle!,http://cleveland.craigslist.org/apa/4955432798.html,$520,8bcjq-4955432798@hous.craigslist.org,4955432798, (Lorain),2015-03-30 01:06,/ 1br - 575ft
New! Brightly painted & ready for spring w/ your own balcony!,http://cleveland.craigslist.org/apa/4955433228.html,$630,92wzm-4955433228@hous.craigslist.org,4955433228, (Elyria),2015-03-30 01:08,/ 2br - 860ft
"Great condition & great location, spacious, beautiful 2nd floor apt.",http://cleveland.craigslist.org/apa/4955432318.html,$530,dghwq-4955432318@hous.craigslist.org,4955432318, (Lorain),2015-03-30 01:10,/ 1br - 575ft
"Super clean, spacious, lots of closets, huge private patio!",http://cleveland.craigslist.org/apa/4955433658.html,$545,gnhwn-4955433658@hous.craigslist.org,4955433658, (Elyria),2015-03-30 01:13,/ 1br - 620ft
"Gas Or Electric Cooking, Over Sized Closets, Air Conditioning",http://cleveland.craigslist.org/apa/4911160080.html,$739,momoore@wmapts.com,4911160080, (Bedford Hts),2015-03-30 01:30,/ 2br - 900ft
Well maintained place awesome for hosting guests!,http://cleveland.craigslist.org/apa/4955400251.html,$625,dq5cg-4955400251@hous.craigslist.org,4955400251, (Euclid),2015-03-30 01:34,/ 2br - 1125ft
"FREE HEAT and GAS, Picnic Area with Grills, Cable Ready",http://cleveland.craigslist.org/apa/4912722703.html,$739,momoore@wmapts.com,4912722703, (Bedford Hts),2015-03-30 03:30,/ 2br - 900ft
Check it out 3 bedroom 1.5 bth Modernized shopping,http://cleveland.craigslist.org/apa/4955464915.html,$1190,ms5fj-4955464915@hous.craigslist.org,4955464915, (Union Miles Park),2015-03-30 03:50,/ 5br - 1475ft
"3 Bedroom - Great View, Fully Equipped Kitchen",http://cleveland.craigslist.org/apa/4939086159.html,$919,dwvcj-4939086159@hous.craigslist.org,4939086159, (Bedford Heights),2015-03-30 05:30,/ 3br - 1100ft
1 Bedroom Apartment,http://cleveland.craigslist.org/apa/4920473865.html,$350,qd9td-4920473865@hous.craigslist.org,4920473865, (Woodhill at Buckeye Rd),2015-03-30 06:20,/ 1br - 450ft
"Newly updated! , book now! Furnished with kitchen!",http://cleveland.craigslist.org/apa/4955532421.html,$259,cnnmw-4955532421@hous.craigslist.org,4955532421, (Mentor),2015-03-30 06:42,/ 1br - 325ft
1st month rent FREE! deposit 750.00 rent 750.00 a month!,http://cleveland.craigslist.org/apa/4945113227.html,$750,mwcpg-4945113227@hous.craigslist.org,4945113227, (10122 NORTH BLVD),2015-03-30 06:42,/ 6br - 2500ft
NORMANDY TOWERS - EXCELLENT 2 BR 1.5 BATH!!!,http://cleveland.craigslist.org/apa/4955531193.html,$750,,4955531193," (24801 Lakeshore Blvd., Euclid, OH)",2015-03-30 06:44,/ 2br - 888ft
Keyway moving service ... Call now,http://cleveland.craigslist.org/apa/4950992923.html,$275,xs7vm-4950992923@hous.craigslist.org,4950992923, (Cleveland),2015-03-30 06:46,/ 2br - 
Studio efficiency suites new TV's and beds.,http://cleveland.craigslist.org/apa/4955533331.html,$259,cwf9s-4955533331@hous.craigslist.org,4955533331, (Mentor),2015-03-30 06:47,/ 1br - 320ft
Keyway Moving Service CALL FOR 3 HOUR SPECIAL,http://cleveland.craigslist.org/apa/4952713800.html,$275,nhfcs-4952713800@hous.craigslist.org,4952713800, (Cleveland),2015-03-30 06:47,/ 2br - 
Studio efficiency suites new TV's . Low monthly and weekly rates!,http://cleveland.craigslist.org/apa/4955533770.html,$259,jvzxj-4955533770@hous.craigslist.org,4955533770, (Mentor),2015-03-30 06:50,/ 1br - 320ft
"Newly updated! , book now! Furnished with kitchen!",http://cleveland.craigslist.org/apa/4955532942.html,$259,p529n-4955532942@hous.craigslist.org,4955532942, (Mentor),2015-03-30 06:50,/ 1br - 325ft
Studio efficiency suites new TV's and beds.,http://cleveland.craigslist.org/apa/4955533468.html,$259,46h7h-4955533468@hous.craigslist.org,4955533468, (Mentor),2015-03-30 07:02,/ 1br - 320ft
OF COURSE YOUR FOUR LEGGED FRIENDS ARE WELCOMED AT...,http://cleveland.craigslist.org/apa/4955544076.html,$725,zsbfw-4955544076@hous.craigslist.org,4955544076,,2015-03-30 07:04,/ 2br - 1000ft
Studio efficiency suites new TV's and beds.,http://cleveland.craigslist.org/apa/4955533611.html,$259,kmt8z-4955533611@hous.craigslist.org,4955533611, (Mentor),2015-03-30 07:14,/ 1br - 320ft
1 Bedroom Suite - incredible granite kitchen and bath,http://cleveland.craigslist.org/apa/4955548928.html,$850,lakewoodprop@gmail.com,4955548928, (10705 Lake Avenue),2015-03-30 07:16,/ 1br - 
Lake Ave 2 bedroom north and south exposures,http://cleveland.craigslist.org/apa/4955549557.html,$1100,lakewoodprop@gmail.com,4955549557, (10705 Lake Avenue),2015-03-30 07:18,/ 2br - 
"2 bedroom - Air Conditioning, Cable Ready, Beautifully Landscaped",http://cleveland.craigslist.org/apa/4948877329.html,$729,gdvwd-4948877329@hous.craigslist.org,4948877329, (Bedford Heights),2015-03-30 07:30,/ 2br - 1000ft
2 bedroom with formal dining room,http://cleveland.craigslist.org/apa/4955547368.html,$900,lakewoodprop@gmail.com,4955547368, (11857 Clifton Boulevard),2015-03-30 07:31,/ 2br - 
"Maintenance free living. . . LOCATION, LOCATION, LOCATION.",http://cleveland.craigslist.org/apa/4933937747.html,$900,tsdvn-4933937747@hous.craigslist.org,4933937747, (North Olmsted),2015-03-30 07:32,/ 2br - 1044ft
2 Bedroom Avon Townhome,http://cleveland.craigslist.org/apa/4955556976.html,$1245,pdwdk-4955556976@hous.craigslist.org,4955556976, (36550 Chester Road),2015-03-30 07:34,/ 2br - 1182ft
Spacious 2 Bedroom Garden Apartment,http://cleveland.craigslist.org/apa/4955557930.html,$1130,365gp-4955557930@hous.craigslist.org,4955557930, (36550 Chester Road),2015-03-30 07:36,/ 2br - 1152ft
house for rent,http://cleveland.craigslist.org/apa/4917272025.html,$700,7xfbb-4917272025@hous.craigslist.org,4917272025, (slavic village),2015-03-30 07:43,/ 1br - 
You can take over payments. All credit approved. Eloquent 4 bedroom dw,http://cleveland.craigslist.org/apa/4946870765.html,$940,7j5vt-4946870765@hous.craigslist.org,4946870765, (Berea),2015-03-30 07:49,/ 3br - 1824ft
Check it out 3 bedrooms 2 baths quality Wood,http://cleveland.craigslist.org/apa/4944398088.html,$1190,fjjjm-4944398088@hous.craigslist.org,4944398088, (Riverside),2015-03-30 07:54,/ 4br - 1044ft
Save today 4 bed 2 bath state of the art stainless fridge,http://cleveland.craigslist.org/apa/4919479688.html,$910,b56m9-4919479688@hous.craigslist.org,4919479688, (Mt Pleasant),2015-03-30 07:54,/ 3br - 1581ft
Cleveland Hts. + Near Lee Rd. Shopping District + Clean + Updated,http://cleveland.craigslist.org/apa/4947791955.html,$900,6qqr8-4947791955@hous.craigslist.org,4947791955," (Kensington Rd., 44118)",2015-03-30 07:56,/ 2br - 1100ft
Beautifully renovated 2-1/2 bdrm on 1st floor ready for May,http://cleveland.craigslist.org/apa/4955572526.html,$900,7gn2x-4955572526@hous.craigslist.org,4955572526, (Cleveland Heights / Coventry 1690 Belmar Road),2015-03-30 08:02,/ 2br - 1500ft
"EUCLID, King Sized Bedrooms, All New, Cable and Internet Included!",http://cleveland.craigslist.org/apa/4955574516.html,$750,j6s5d-4955574516@hous.craigslist.org,4955574516, (Euclid),2015-03-30 08:05,/ 2br - 855ft
"3 Bedroom, 2.5 Bath Lakefront Townhouse",http://cleveland.craigslist.org/apa/4955576059.html,$1950,m6gsd-4955576059@hous.craigslist.org,4955576059, (Cleveland - Detroit Shoreway),2015-03-30 08:07,/ 3br - 2500ft
Apartments Rentals ( 1 & 2 bedrooms),http://cleveland.craigslist.org/apa/4926074191.html,$720,ppfkd-4926074191@hous.craigslist.org,4926074191, (East Cleveland),2015-03-30 08:07,/ 2br - 700ft
nice area 3 bed 2 bath splendid Spanish,http://cleveland.craigslist.org/apa/4947657537.html,$810,mrskz-4947657537@hous.craigslist.org,4947657537, (Lorain),2015-03-30 08:08,/ 5br - 1301ft
Look at this 3 bed 2 bath Latest Vinyl / Linoleum,http://cleveland.craigslist.org/apa/4952114147.html,$790,w97kq-4952114147@hous.craigslist.org,4952114147, (Lakewood),2015-03-30 08:08,/ 4br - 1268ft
HUGE 3 bedroom on 2nd floor ready for June,http://cleveland.craigslist.org/apa/4955578942.html,$990,6mz7t-4955578942@hous.craigslist.org,4955578942, (1681 Belmar Road Cleveland Heights hts coventry),2015-03-30 08:11,/ 3br - 1800ft
*** Gorgeous house for rent /2 units UP and DN,http://cleveland.craigslist.org/apa/4945276529.html,$650,cdzfd-4945276529@hous.craigslist.org,4945276529, (3885 W. 20th. Street),2015-03-30 08:13,/ 2br - 900ft
"EUCLID, King Sized Bedrooms, All New, Garage, PET FRIENDLY!!!",http://cleveland.craigslist.org/apa/4955580630.html,$699,q4wxv-4955580630@hous.craigslist.org,4955580630, (Euclid),2015-03-30 08:13,/ 2br - 855ft
Loft-Like Smaller 2bedroom ready for June,http://cleveland.craigslist.org/apa/4955583741.html,$725,srdzp-4955583741@hous.craigslist.org,4955583741, (Cleveland Heights / Coventry 1681 Belmar),2015-03-30 08:18,/ 2br - 750ft
"EUCLID, All New, King Sized Rooms, New Laundries, Garages, PET FRIENDLY!!",http://cleveland.craigslist.org/apa/4955584520.html,$625,fwc3z-4955584520@hous.craigslist.org,4955584520, (Euclid),2015-03-30 08:19,/ 1br - 650ft
owner wallace,http://cleveland.craigslist.org/apa/4950575559.html,$700,ndionis@sbcglobal.net,4950575559, (north ridgeville),2015-03-30 08:20,/ 2br - 1100ft
"Fairview Park Gem, 3BR, 2+Baths. Possible Rent to Own",http://cleveland.craigslist.org/apa/4940781173.html,$1695,sv2zr-4940781173@hous.craigslist.org,4940781173, (Fairview Park),2015-03-30 08:22,/ 3br - 1300ft
2 BEDROOM COMPLETELY RENOVATED IN QUIET AREA FOR RENT!!!,http://cleveland.craigslist.org/apa/4950214281.html,$525,skqdq-4950214281@hous.craigslist.org,4950214281, (lorain),2015-03-30 08:25,/ 2br - 
"Newly updated! , book now! Furnished with kitchen!",http://cleveland.craigslist.org/apa/4955581459.html,$259,wpxzh-4955581459@hous.craigslist.org,4955581459, (Mentor),2015-03-30 08:31,/ 1br - 325ft
Rent to Own Single Family Home on Lake Rd,http://cleveland.craigslist.org/apa/4955593856.html,$950,pppm8-4955593856@hous.craigslist.org,4955593856, (Sheffield Lake),2015-03-30 08:31,/ 2br - 988ft
GRANADA GARDENS ~ 2BD/1BATH APARTMENTS!!!,http://cleveland.craigslist.org/apa/4951893926.html,$735,granadagardensapts@gmail.com,4951893926, (Warrensville Hts. Maple Hts. Garfield Hts. Bedford Hts. Shak),2015-03-30 08:31,/ 2br - 
GRANADA GARDENS ~ 2BD/1 BATH APARTMENTS!!!,http://cleveland.craigslist.org/apa/4951888697.html,$710,granadagardensapts@gmail.com,4951888697, (Warrensville Hts. Maple Hts. Garfield Hts. Bedford Hts. Shak),2015-03-30 08:31,/ 2br - 
Granada Gardens~ LOVELY 3BR/1.5BA TOWNHOUSES ARE AVAILABLE!!!,http://cleveland.craigslist.org/apa/4951891533.html,$825,granadagardensapts@gmail.com,4951891533, (Warrensville Heights),2015-03-30 08:32,/ 3br - 1190ft
GRANADA GARDENS ~ 2BD/1.5 BATH APARTMENTS!!!,http://cleveland.craigslist.org/apa/4951881220.html,$695,granadagardensapts@gmail.com,4951881220, (Warrensville Hts. Maple Hts. Garfield Hts. Bedford Hts. Shak),2015-03-30 08:32,/ 2br - 
** Beautiful 3 Bedroom Home w/ Brand New Kitchen & Finished Basement**,http://cleveland.craigslist.org/apa/4952223671.html,$975,,4952223671, (Garfield Heights),2015-03-30 08:33,/ 3br - 
Experience Mentor! $259 first week all utilities included,http://cleveland.craigslist.org/apa/4955583841.html,$259,rsg28-4955583841@hous.craigslist.org,4955583841, (mentor),2015-03-30 08:34,/ 1br - 325ft
Van Aken Villas Shaker Hts.,http://cleveland.craigslist.org/apa/4914064630.html,$595,x27mw-4914064630@hous.craigslist.org,4914064630, (16211 Van Aken Blvd.),2015-03-30 08:35,/ 1br - 835ft
Van Aken Villas on RTA blue line,http://cleveland.craigslist.org/apa/4924443445.html,$695,sw7kc-4924443445@hous.craigslist.org,4924443445," (16211 Van Aken Blvd., Shaker Hts.)",2015-03-30 08:35,/ 2br - 948ft
1 Bedroom with Heat/Garage included,http://cleveland.craigslist.org/apa/4955601312.html,$585,5jgks-4955601312@hous.craigslist.org,4955601312, (West End of Lakewood),2015-03-30 08:40,/ 1br - 
Home for rent bedford,http://cleveland.craigslist.org/apa/4911242795.html,$925,jkk2c-4911242795@hous.craigslist.org,4911242795, (Bedford),2015-03-30 08:42,/ 3br - 1100ft
1bedroom Heat Included,http://cleveland.craigslist.org/apa/4923987284.html,$525,g8zxp-4923987284@hous.craigslist.org,4923987284, (West Park),2015-03-30 08:44,/ 1br - 
Experience Mentor! $259 first week all utilities included,http://cleveland.craigslist.org/apa/4955583246.html,$259,hthfk-4955583246@hous.craigslist.org,4955583246, (mentor),2015-03-30 08:46,/ 1br - 325ft
House off Lakeshore! Must See!,http://cleveland.craigslist.org/apa/4950706671.html,$975,,4950706671," (Euclid, OH 216th)",2015-03-30 08:46,/ 4br - 
E. 214th off Lakeshore!,http://cleveland.craigslist.org/apa/4950692572.html,$1000,,4950692572, (Euclid),2015-03-30 08:46,/ 4br - 
*EPIC *EPIC *EPIC ~4bedrm 2Bath,http://cleveland.craigslist.org/apa/4940599565.html,$1820,zxnf3-4940599565@hous.craigslist.org,4940599565, (Detroit Shoreway),2015-03-30 08:47,/ 4br - 2000ft
single family home 3 bed/2 bath,http://cleveland.craigslist.org/apa/4924502880.html,$900,t768x-4924502880@hous.craigslist.org,4924502880, (willoughby),2015-03-30 08:48,/ 3br - 
2 bed 1 bath up,http://cleveland.craigslist.org/apa/4948255224.html,$600,5cttb-4948255224@hous.craigslist.org,4948255224, (lakewood),2015-03-30 08:49,/ 2br - 
3 bed 1 bath down,http://cleveland.craigslist.org/apa/4942197971.html,$675,kbbqr-4942197971@hous.craigslist.org,4942197971, (west cleveland),2015-03-30 08:49,/ 3br - 
One bedroom Free Heat,http://cleveland.craigslist.org/apa/4955611498.html,$560,tnzzz-4955611498@hous.craigslist.org,4955611498, (Berea),2015-03-30 08:51,/ 1br - 
You found it!! All NEW- before its gone,http://cleveland.craigslist.org/apa/4928140329.html,$900,fpvrj-4928140329@hous.craigslist.org,4928140329, (Historical West Boulevard),2015-03-30 08:51,/ 3br - 1909ft
HolyMoly!! All*New 2B~ before its gone-,http://cleveland.craigslist.org/apa/4928269166.html,$825,mk87q-4928269166@hous.craigslist.org,4928269166, (Detroit Shoreway),2015-03-30 08:51,/ 2br - 800ft
Superb ~Westend Tremont,http://cleveland.craigslist.org/apa/4924060410.html,$1425,regina@clevelandbricks.com,4924060410, (Westend Tremont),2015-03-30 08:52,/ 3br - 1842ft
ALL NEW 2 bedrm First floor/see pics!,http://cleveland.craigslist.org/apa/4923903070.html,$685,t5xgm-4923903070@hous.craigslist.org,4923903070, (3492 W 90th),2015-03-30 08:52,/ 2br - 1000ft
***Heart of Ohio City ~All New***,http://cleveland.craigslist.org/apa/4926683448.html,$1270,rhqcd-4926683448@hous.craigslist.org,4926683448, (ohio city),2015-03-30 08:52,/ 2br - 1042ft
Tremont Secret ~3 bedrm 2.5 Bath,http://cleveland.craigslist.org/apa/4923911884.html,$1425,44fjz-4923911884@hous.craigslist.org,4923911884, (1789 Agnes Ct),2015-03-30 08:52,/ 3br - 1842ft
"""LOOK"" Brook park House For Rent",http://cleveland.craigslist.org/apa/4955614693.html,$1400,qvm9t-4955614693@hous.craigslist.org,4955614693," (BrookPark,Oh)",2015-03-30 08:54,/ 3br - 
Well Maintained Property One bedroom,http://cleveland.craigslist.org/apa/4955611225.html,$565,kjnpt-4955611225@hous.craigslist.org,4955611225, (Berea),2015-03-30 08:58,/ 1br - 
Beautiful Victorian Rental for RNC CONVENTION,http://cleveland.craigslist.org/apa/4918410975.html,$22000,fmxwc-4918410975@hous.craigslist.org,4918410975, (cleveland west),2015-03-30 08:59,/ 3br - 1700ft
